iter	Passed	Remaining
917	13848	1236
918	13862	1221
919	13877	1206
920	13892	1191
921	13906	1176
922	13921	1161
923	13936	1146
924	13951	1131
925	13965	1116
926	13980	1100
927	13995	1085
928	14009	1070
929	14025	1055
930	14040	1040
931	14054	1025
932	14068	1010
933	14082	995
934	14098	980
935	14113	965
936	14127	949
937	14141	934
938	14156	919
939	14170	904
940	14184	889
941	14200	874
942	14214	859
943	14229	844
944	14245	829
945	14261	814
946	14275	798
947	14287	783
948	14301	768
949	14316	753
950	14330	738
951	14343	723
952	14356	708
953	14370	692
954	14385	677
955	14399	662
956	14413	647
957	14428	632
958	14442	617
959	14457	602
960	14472	587
961	14487	572
962	14502	557
963	14518	542
964	14533	527
965	14548	512
966	14564	497
967	14579	481
968	14593	466
969	14607	451
970	14623	436
971	14638	421
972	14651	406
973	14667	391
974	14682	376
975	14696	361
976	14710	346
977	14724	331
978	14737	316
979	14752	301
980	14766	285
981	14780	270
982	14795	255
983	14810	240
984	14824	225
985	14839	210
986	14853	195
987	14867	180
988	14881	165
989	14895	150
990	14909	135
991	14924	120
992	14937	105
993	14952	90
994	14965	75
995	14981	60
996	14995	45
997	15010	30
998	15024	15
999	15039	0
